date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-12-11 00:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,0,-2,1,-2,21,24,93,0.0,1026,1,10,288,9,dehli
2018-12-11 01:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,0,-2,1,-2,21,26,94,0.0,1026,1,7,285,10,dehli
2018-12-11 02:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,0,-2,1,-2,22,28,94,0.0,1026,1,5,283,10,dehli
2018-12-11 03:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,0,-3,1,-3,19,30,95,0.0,1025,1,2,280,11,dehli
2018-12-11 04:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,-0,-3,1,-3,22,29,95,0.0,1026,1,2,276,10,dehli
2018-12-11 05:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,-0,-2,0,-2,21,28,95,0.0,1026,0,2,272,8,dehli
2018-12-11 06:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,-1,-2,0,-2,20,26,95,0.0,1026,0,2,267,7,dehli
2018-12-11 07:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,-0,-2,1,-2,20,27,92,0.0,1026,1,5,269,8,dehli
2018-12-11 08:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,-0,-2,1,-2,20,28,90,0.0,1026,1,7,270,10,dehli
2018-12-11 09:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,-0,-1,2,-1,16,29,88,0.0,1026,2,10,272,11,dehli
2018-12-11 10:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,0,-0,3,-0,15,37,84,0.0,1026,3,10,278,11,dehli
2018-12-11 11:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,0,1,4,1,22,45,79,0.0,1026,4,10,284,11,dehli
2018-12-11 12:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,1,2,5,2,22,53,75,0.1,1026,5,10,290,11,dehli
2018-12-11 13:00:00,5,0,0.0,8.0,2,21,11:20 AM,08:25 PM,08:15 AM,04:34 PM,1,2,4,2,22,50,77,0.0,1025,4,10,288,10,dehli
